Row,"(N/1,000)^1/2","(N/1,000)^1/3",rMSE_1000/rMSE_N,MND_1000/MND_N
"N = 10,000",3.16,2.15,2.33,2.27
"N = 4,000",2,1.59,1.84,1.78
